,Progress,Finished,Q25,Q25_4_TEXT,Memberships ,Are You ,Q30,Q30_16_TEXT,Indy,public email,public email at work,Memberships ,Q26,Someoneelse ,Signin2 ,Signin2 _3_TEXT,Q32,Added,Admin ,Access,Instructions,Lost Envelopes,Wrong Inbox,Prefer 
IPC,100,True,company email (eg. me@company.com),,Not Sure,Yes,Higher Education,,No,No,,,,,,,,No,Not Sure,No,Yes,Yes,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,Higher Education,,No,No,,2-3,Work,Yes,Work,,,No,Yes,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Other (please specify):,Oil and gas,No,No,,2-3,Work,No,Work,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,Yes,Legal Services,,No,No,,,,,,,,No,Yes,,No,Not Sure,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,,,,,,,,,,Yes,Not Sure,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com)",,Not Sure,No,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,,,,,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com)",,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Automotive Manufacturing,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Yes,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,2-3,Work,Not Sure,Work,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,4-5,Work,No,Work,,,,,,Yes,Not Sure,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Higher Education,,No,No,,2-3,Work,No,Work,,,,,,Yes,Yes,Not sure,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Other (please specify):,Automotive,No,No,,,,,,,,Yes,Not Sure,Yes,Yes,Yes,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,,,,Yes,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,Yes,No,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,multiple emails (how many different email addresses do you use?),many,Yes,Yes,Higher Education,,No,No,,6-10,Work,No,Work,,,Yes,Yes,,Yes,Yes,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Medical Device Company,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Legal Services,,No,No,,1,Work,No,Work,,,,,,Yes,Yes,Not sure,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,Not Sure,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Technology,,No,No,,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,Other (please specify):,Procurement,No,No,,2-3,Work,Not Sure,Work,,,No,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,No,Work,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Technology,,No,No,,2-3,Work,Not Sure,Work,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Entertainment,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,Yes,Construction,,No,No,,,,,,,,Yes,Yes,,Yes,Yes,Not sure,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Accounting and Tax,,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,Government,,No,No,,,,,,,,,,,No,Not Sure,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,No,Yes,,No,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,Yes,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,Yes,Work,,,,,,Yes,Yes,Yes,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Technology,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Real Estate (Agents, etc.)",,"Yes, I work independently",No,,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,"Real Estate (Agents, etc.)",,"Yes, I work independently",Yes,No,,,,,,,No,No,No,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Higher Education,,No,No,,,,,,,,Yes,Yes,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Retail,,No,No,,,,,,,,No,No,No,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Manufacturing - Automotive,No,No,,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,No,Yes,,Yes,Yes,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,No,Yes,Not sure,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,No,Not Sure,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,Government,,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,Government,,No,No,,1,Work,No,Work,,,No,No,No,Yes,Not Sure,Not sure,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Not Sure,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,No,No,No,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,Yes,Other (please specify):,Cannabis,No,No,,,,,,,,Yes,No,Not Sure,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",38,No,Yes,Non-Profit,,No,No,,,,,,,,No,Yes,,Yes,Yes,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Government,,No,No,,1,Work,Yes,Work,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Accounting and Tax,,No,No,,2-3,Work,Yes,Work,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Other (please specify):,Homebuilder,No,No,,,,,,,,No,Yes,,Yes,Yes,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Yes,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,2-3,I don't know what a default DocuSign account is,No,Work,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Accounting and Tax,,No,No,,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,Higher Education,,No,No,,25+,I use separate emails for work and personal DocuSign accounts,No,I do not send DocuSign envelopes,,,Yes,Yes,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",3,No,No,Higher Education,,No,No,,,,,,,,,,,Yes,Not Sure,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",mariama.tarawally@hud.gov,No,No,Government,,No,No,,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,multiple emails (how many different email addresses do you use?),2,Not Sure,Yes,Construction,,"Yes, I own my own business",Yes,No,,,,,,,No,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,Higher Education,,No,No,,,,,,,,,,,Yes,Not Sure,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Higher Education,,No,No,,1,Work,No,Work,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,No,Not sure,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,4-5,Work,Yes,Work,,,No,No,No,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Higher Education,,No,No,,2-3,Work,Yes,Work,,,,,,No,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,Communication & Media,,No,No,,6-10,Work,No,Work,,,Yes,Yes,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,Non-Profit,,No,No,,,,,,,,,,,Yes,Yes,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,No,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Government,,No,No,,,,,,,,No,No,No,No,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Real Estate (Agents, etc.)",,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,No,Not Sure,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Legal Services,,No,No,,,,,,,,,,,Yes,Not Sure,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Entertainment,No,No,,,,,,,,,,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,,,,,,,,,,Yes,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,Government,,No,No,,,,,,,,,,,Yes,No,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,Higher Education,,No,No,,2-3,Work,Not Sure,Work,,,No,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Mining,No,No,,,,,,,,,,,Yes,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Non-Profit,,No,No,,,,,,,,,,,No,No,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,Yes,No,No,No,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,solar panels,No,Yes,No,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",3,No,No,Government,,No,No,,,,,,,,,,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,"Real Estate (Agents, etc.)",,No,No,,,,,,,,No,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,No,Work,,,Yes,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,No,Higher Education,,No,No,,,,,,,,,,,Yes,Not Sure,Not sure,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,Other (please specify):,Aviation Services,No,No,,25+,Work,Yes,Work,,,Not Sure,Yes,,Yes,Not Sure,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Manufacturing,No,No,,,,,,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,Yes,Government,,No,No,,,,,,,,No,No,Not Sure,No,Not Sure,No,No opinion
IPC,100,True,multiple emails (how many different email addresses do you use?),2,No,Yes,Legal Services,,No,No,,,,,,,,No,Yes,,Yes,Yes,Not sure,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Real Estate (Agents, etc.)",,No,No,,,,,,,,,,,Yes,Yes,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,16-25,Work,No,Work,,,No,Yes,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Legal Services,,No,No,,,,,,,,No,No,Yes,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Government,,No,No,,1,Work,No,Work,,,,,,No,Yes,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Yes,No,Other (please specify):,Non-clinical human research,No,No,,2-3,Work,No,Work,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Government,,No,No,,1,Work,No,Work,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Not Sure,Yes,Other (please specify):,K12 Education,No,No,,,,,,,,Yes,Yes,,Yes,Not Sure,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,No,Not Sure,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,Yes,Work,,,Yes,Yes,,Yes,Not Sure,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,Yes,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Water treatment ,No,No,,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,Yes,Not Sure,Not sure,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Technology,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,"Yes, I work independently",No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,Yes,No,Yes,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,Yes,No,Not sure,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Construction,,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,Not Sure,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Real Estate (Agents, etc.)",,No,No,,,,,,,,,,,No,Yes,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Yes,No,Other (please specify):,Staffing,No,No,,2-3,Work,Yes,Work,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Service,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,"company email (eg. me@company.com),public email (eg. me@gmail.com)",,Not Sure,No,Accounting and Tax,,No,No,,,,,,,,,,,Yes,Yes,Not sure,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,multiple emails (how many different email addresses do you use?),2,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,No,No,No,No opinion
IPC,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",2,No,Yes,Accounting and Tax,,No,No,,,,,,,,No,Yes,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Hospitality,No,No,,,,,,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Government,,No,No,,,,,,,,No,No,No,No,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,Not Sure,Yes,Higher Education,,No,No,,,,,,,,No,Yes,,Yes,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Government,,No,No,,,,,,,,No,No,Not Sure,No,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Other (please specify):,Live Entertainment,No,No,,,,,,,,,,,No,Yes,Not sure,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Legal Services,,No,No,,,,,,,,,,,Yes,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",4,No,Yes,Higher Education,,No,No,,,,,,,,No,No,Not Sure,No,Not Sure,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,"Healthcare (Healthcare Providers, Health Plans, etc.)",,No,No,,1,Work,No,Work,,,,,,No,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Technology,,No,No,,,,,,,,No,Yes,,Yes,No,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,Yes,Higher Education,,No,No,,,,,,,,Yes,Yes,,Yes,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,Yes,Technology,,No,No,,,,,,,,No,No,No,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Real Estate (Agents, etc.)",,No,No,,,,,,,,,,,Yes,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Construction,,No,No,,,,,,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,No,Other (please specify):,Petroleum,No,No,,2-3,Work,No,Work,,,,,,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,"Financial Services (Asset Management, Banking and Lending, Wealth Management, etc.)",,No,No,,2-3,Work,Yes,Work,,,No,No,No,Yes,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Higher Education,,No,No,,,,,,,,,,,Yes,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,public email (eg. me@gmail.com),,No,Yes,"Real Estate (Agents, etc.)",,"Yes, I work independently",Yes,No,,,,,,,Yes,Yes,,Yes,Yes,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Legal Services,,No,No,,,,,,,,,,,Yes,Not Sure,Not sure,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,Yes,Yes,Higher Education,,No,No,,2-3,Work,Not Sure,Work,,,No,Yes,,No,Yes,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,"Life Sciences (Pharmaceutical Companies, Medical Device Manufacturing, etc.)",,No,No,,,,,,,,,,,No,No,No,Make one unified inbox with the capability to filter according to my account memberships
IPC,100,True,company email (eg. me@company.com),,No,No,Government,,No,No,,,,,,,,,,,Yes,Yes,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
IPC,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",,No,Yes,Other (please specify):,Oil and Gas,No,No,,,,,,,,No,No,Yes,No,Yes,No,No opinion
IPC,100,True,company email (eg. me@company.com),,No,No,Accounting and Tax,,No,No,,,,,,,,,,,Yes,No,No,No opinion
IPC,100,True,"company email (eg. me@company.com),multiple emails (how many different email addresses do you use?)",kwame.nyampong@newmont.com,No,No,Other (please specify):,Mining,No,Yes,No,,,,,,,,,,No,No,No,I'd like envelopes to show up in separate inboxes according to my accounts memberships
